Typ,Nr,Namn,Address1,Address2,Address3,Address4,Address5,Telefon,ButiksTyp,Tjanster,SokOrd,Oppettider,RT90x,RT90y
Ombud,228108-91C,Ica Supermarket Matfors,Skölevägen 2-4,,864 31,MATFORS,Västernorrlands län,060-55 35 55,,,,,6915625.939,1562942.719
Ombud,228109-92A,Lucksta Livs AB Matnära,Lindvägen 2,,864 92,MATFORS,Västernorrlands län,060-253 70,,,MEDELPAD;VÄSTERNORRLAND;SUNDSVALL,,6910342,1564581
Ombud,228111-90C,Tempo Indal,Fältvägen 3,,855 97,INDAL,Västernorrlands län,060-920 30,,,Medelpad;Västernorrlands län,,6941477.54,1566303.785
Ombud,228113-90B,Tempo Liden,Lidenvägen 94,,855 99,LIDEN,Västernorrlands län,0692-100 26,,,,,6954570.722,1551003.219
Ombud,228202-91B,Ica Nära Strömmen,Prästbordet 103,,872 98,NORASTRÖM,Västernorrlands län,0613-304 13,,,,,6975483.751,1615984.583
Ombud,228204-90A,ICA Nära Nordingrå,Prästmyrvägen 1,,870 30,NORDINGRÅ,Västernorrlands län,0613-200 18,,,ÅNGERMANLAND;VÄSTERNORRLAND;KRAMFORS,,6982410,1626318
Ombud,228204-91C,Servicepunkten i Mjällom,Petsamovägen 2,,870 31,MJÄLLOM,Västernorrlands län,0613-210 05,,,Västernorrland;Vindeln,,6988888,1633167
Ombud,228205-91B,Docksta Järn,Dockstavägen 27,,870 33,DOCKSTA,Västernorrlands län,0613-400 76,,,,,6996312.54,1627480.236
Ombud,228206-90A,Br. Petterssons Järn,Sundbrogatan 36,,870 32,ULLÅNGER,Västernorrlands län,0613-100 41,,,ÅNGERMANLAND;VÄSTERNORRLAND;KRAMFORS,,6991246,1620631
Ombud,228211-91A,Nylands Järnhandel,Bankgatan 7,,870 52,NYLAND,Västernorrlands län,0612-228 15,,,ÅNGERMANLAND;VÄSTERNORRLAND;KRAMFORS,,6990070,1599216
Ombud,228304-90C,Ica Nära Långsele,Hamrevägen 4,,882 30,LÅNGSELE,Västernorrlands län,0620-216 92,,,,,7008174.079,1563488.206
Ombud,228306-90C,Handlarn i Resele,Prästbordet 241,,880 30,NÄSÅKER,Västernorrlands län,0620-500 29,,,Ångermanland;Västernorrlandslän;Sollefteå,,7025135,1563659
Ombud,228308-91C,Coop Nära Näsåker,Storgatan 5,,880 30,NÄSÅKER,Västernorrlands län,0622-100 12,,,Ångermanland;Västernorrlands län,,7037692.841,1554356.534
Ombud,228309-90D,PA Bygg,Köpmangatan 25,,880 37,JUNSELE,Västernorrlands län,0621-711 00,,,Ångermanland;Västernorrlands län,,7065717.259,1553235.748
Ombud,228311-91C,Undroms Närlivs,Undrom 131 D,,881 95,UNDROM,Västernorrlands län,0612-600 04,,,,,7002475.544,1597496.095
Ombud,228314-90A,Edselehallen,Ödsgårdsvägen 4,,880 41,EDSELE,Västernorrlands län,0623-200 06,,,ÅNGERMANLAND;VÄSTERNORRLAND;SOLLEFTEÅ,,7032863,1536944
Ombud,228404-92B,Åkerström & Company,Junselevägen 9,,895 30,BREDBYN,Västernorrlands län,0661-105 80,,,ÖVIK;Ö-VIK;ÖRNSKÖLDSVIK,,7040385.332,1614608.854
Ombud,228404-93B,Lanthandeln i Solberg,Sagavägen 59,,895 98,SOLBERG,Västernorrlands län,0661-500 10,,,VÄSTERNORRLAND;ÖRNSKÖLDSVIK,,7076966,1590514
Ombud,228405-90A,Konsum Skorped,Skorpedsvägen 19,,895 97,SKORPED,Västernorrlands län,0661-300 17,,,ÅNGERMANLAND;VÄSTERNORRLAND;ÖRNSKÖLDSVIK,,7032305,1602487
Ombud,228406-91A,Sidensjö Handelsbod,Stryvägen 11,,893 95,SIDENSJÖ,Västernorrlands län,0660-26 00 00,,,Ångermanland;Västernorrland;Örnsköldsvik,,7022887,1624707
Ombud,228407-90B,Ulvö Handelsbod,Hamngatan 5,,893 99,ULVÖHAMN,Västernorrlands län,072-905 71 05,,,,,6993190.727,1643851.473
Ombud,228407-93B,Busskiosken i Nätra AB,Harmonivägen 2,,893 30,BJÄSTA,Västernorrlands län,070-4682522,,,,,7013069.915,1635625.547
Ombud,228410-91C,Husums Service Station,Bruksvägen 90,,896 32,HUSUM,Västernorrlands län,0663-611 80,,,Ångermanland;Västernorrland;Örnsköldsvik,,7028804.071,1668251.239
Ombud,228411-90C,Gideå Livs,Bergforsvägen 50,,896 93,GIDEÅ,Västernorrlands län,0663-400 50,,,Ångermanland;Västernorrlands län,,7045321.617,1657781.129
Ombud,228411-91A,Flärke Lanthandel,Flärke 140,,896 93,GIDEÅ,Västernorrlands län,0663-500 10,,,ÅNGERMANLAND;VÄSTERNORRLAND;ÖRNSKÖLDSVIK,,7056123.407,1659905.769
Ombud,228412-93B,Hemlings Lanthandel,Hemling 220,,890 51,LÅNGVIKSMON,Västernorrlands län,0662-310 06,,,ÅNGERMANLAND;VÄSTERNORRLAND;ÖRNSKÖLDSVIK,,7063292.217,1635764.347
Ombud,228413-90A,Coop Trehörningsjö,Centralgatan 31,,890 54,TREHÖRNINGSJÖ,Västernorrlands län,0662-200 27,,,ÅNGERMANLAND;VÄSTERNORRLAND;ÖRNSKÖLDSVIK,,7068709,1651363
Ombud,230302-90A,ICA Forsen,Forsvägen 22,,844 41,BISPGÅRDEN,Jämtlands län,0696-300 22,,,Jämtland;Ragunda,,6991181.531,1541196.144
Ombud,230303-90C,Affär´n i Borgvattnet,Borgvattnet 131,,844 95,STUGUN,Jämtlands län,0695-500 21,,,Jämtlands län;Jämtland;Ragunda,,7034923,1501016
Ombud,230304-90A,ICA Nära Stugun,Industrivägen 2,,844 51,STUGUN,Jämtlands län,0695-106 95,,,JÄMTLAND;RAGUNDA,,7006472,1489946
Ombud,230502-91A,Bodsjö Diverse,Sidsjö 184,,843 91,BRÄCKE,Jämtlands län,0693-520 44,,,JÄMTLAND;BRÄCKE,,6958054,1466407
Ombud,230504-91A,Kälarne Livs,Stationsvägen 4,,844 61,KÄLARNE,Jämtlands län,0696-400 05,,,JÄMTLAND;BRÄCKE,,6985517,1514352
Ombud,230504-92B,Monikas Livs,Albacken 162,,843 98,SÖRBYGDEN,Jämtlands län,0696-601 60,,,Bohuslän;Västragötaland,,6963162.559,1510633.528
Ombud,230506-92B,Ica Nära Gällö,Ringsvägen 2,,843 41,GÄLLÖ,Jämtlands län,0693-66 20 66,,,,,6978353,1470917
Ombud,230905-91A,Laxsjö Bua,Laxsjö 178,,835 62,FÖLLINGE,Jämtlands län,0645-20050,,,Jämtland;Krokom,,7078719.226,1450390.709
Ombud,230906-90A,K-G Olssons Verkstad o Bensin HB,Långgatan 13,,835 61,FÖLLINGE,Jämtlands län,0645-100 91,,,JÄMTLAND;KROKOM,,7063110,1441401
Ombud,230906-92A,Handlarn Rötviken,Rötviken 204 A.,,835 63,FÖLLINGE,Jämtlands län,0645 770900,,,Jämtland;Jämtlands län;Krokom,,7097331.135,1419644.071
Ombud,230907-92B,Trångsvikens Bygdegårdsförening,Alsenvägen 8,,835 96,TRÅNGSVIKEN,Jämtlands län,0640-403 20,,,JÄMTLAND;KROKOM,,7026138,1410468
Ombud,230907-93B,Valsjöbua AB,Valsjön 4720,,835 67,VALSJÖBYN,Jämtlands län,0645-320 05,,,JÄMTLAND;KROKOM,,7107769,1418768
Ombud,230908-91B,MBB Livs,Centralvägen 20,,835 97,OFFERDAL,Jämtlands län,0640-301 54,,,Jämtland,,7039959.931,1413183.665
Ombud,230910-91A,Kluksbua,Kluk 188,,835 93,ALSEN,Jämtlands län,0640-683300,,,,,7034286.19,1400324.163
Ombud,231302-91D,Lidsjöbergs Lanthandel,Lidsjöberg 105,,833 97,LIDSJÖBERG,Jämtlands län,0670-70012,,,Jämtland;Strömsund,,7133656.476,1472519.928
Ombud,231304-90B,Ica H-Center,Storgatan 42,,833 41,HAMMERDAL,Jämtlands län,0644-100 16,,,JÄMTLAND;STRÖMSUND,,7052737,1477461
Ombud,231305-91H,Ica Nära Gränsbua,Norgevägen 1,,833 61,GÄDDEDE,Jämtlands län,0672-100 24,,,,,7155923.854,1420106.876
